 Init noise sample_rate tau1_init tau2_init sigma_init acc acc1 acc2 acc3
180 181 different 256 0.9135967493057251 0.6079081892967224 0.3810054063796997 0.15263402462005615 0.16112659871578217 0.19436703622341156 0.10240843892097473
181 182 different 128 0.8319598436355591 0.3378169536590576 0.839552104473114 0.103138267993927 0.1010151281952858 0.10758359730243683 0.10081608593463898
182 183 same 16 0.22862571477890015 0.07959085702896118 0.32508736848831177 0.4249601662158966 0.4356090724468231 0.4447651207447052 0.3945063650608063
183 184 different 512 0.4330824017524719 0.725469708442688 0.5615761876106262 0.1728038787841797 0.19078423082828522 0.13365843892097473 0.19396895170211792
184 185 same 256 0.009590089321136475 0.9568571448326111 0.935470700263977 0.4689158499240875 0.46825239062309265 0.46208199858665466 0.47641322016716003
185 186 different 512 0.8311360478401184 0.45034295320510864 0.792911946773529 0.138435497879982 0.10141322016716003 0.16371417045593262 0.15017913281917572
186 187 same 64 0.9203133583068848 0.15042877197265625 0.8653278946876526 0.18361862003803253 0.16082802414894104 0.17207404971122742 0.21795381605625153
187 188 same 64 0.9016458988189697 0.3926442861557007 0.9343876242637634 0.14394240081310272 0.10260748118162155 0.1498805731534958 0.17933917045593262
188 189 same 32 0.018912315368652344 0.661268949508667 0.06632357835769653 0.6925756335258484 0.7009354829788208 0.6856091022491455 0.6911823153495789
189 190 different 128 0.6799318790435791 0.03555387258529663 0.7825466394424438 0.106223464012146 0.09932325035333633 0.09932325035333633 0.12002388387918472
190 191 different 128 0.5363014936447144 0.04382878541946411 0.9334089756011963 0.13873405754566193 0.1386345475912094 0.14928343892097473 0.12828423082828522
191 192 same 256 0.017396211624145508 0.5286701917648315 0.6142935752868652 0.373772531747818 0.3760947585105896 0.38475319743156433 0.3604697585105896
192 193 different 32 0.49063587188720703 0.5475775003433228 0.8440008759498596 0.17452891170978546 0.17306926846504211 0.15654855966567993 0.19396895170211792
193 194 same 32 0.6830301284790039 0.4654189348220825 0.047163307666778564 0.324973464012146 0.28931131958961487 0.3705214858055115 0.31508758664131165
194 195 different 32 0.470409631729126 0.580808699131012 0.7444403767585754 0.19705414772033691 0.2271098792552948 0.17525875568389893 0.18879379332065582
195 196 different 32 0.10948479175567627 0.5971789956092834 0.8477796912193298 0.4542860984802246 0.4481488764286041 0.4561106562614441 0.4585987329483032
